ablest 4	['ablest', 'bleats', 'stable', 'tables']

actors 4	['actors', 'castor', 'costar', 'scrota']

adders 3	['adders', 'dreads', 'sadder']

adsorb 3	['adsorb', 'boards', 'broads']

airmen 3	['airmen', 'marine', 'remain']

alerts 4	['alerts', 'alters', 'salter', 'staler']

aliens 3	['aliens', 'alines', 'saline']

alined 3	['alined', 'denial', 'nailed']

altars 3	['altars', 'astral', 'tarsal']

ambled 4	['ambled', 'bedlam', 'blamed', 'lambed']

ambler 3	['ambler', 'marble', 'ramble']

anemic 3	['anemic', 'cinema', 'iceman']

angels 3	['angels', 'angles', 'gleans']

animal 3	['animal', 'lamina', 'manila']

antler 3	['antler', 'learnt', 'rental']

arches 3	['arches', 'chaser', 'search']

arcing 3	['arcing', 'caring', 'racing']

argons 4	['argons', 'groans', 'organs', 'sarong']

argots 3	['argots', 'gators', 'groats']

arrest 4	['arrest', 'rarest', 'raters', 'starer']

artist 4	['artist', 'strait', 'strati', 'traits']

ascent 4	['ascent', 'enacts', 'secant', 'stance']

asleep 3	['asleep', 'elapse', 'please']

aspire 3	['aspire', 'praise', 'spirea']

assert 3	['assert', 'asters', 'stares']

averts 3	['averts', 'starve', 'vaster']

badger 3	['badger', 'barged', 'garbed']

bakers 3	['bakers', 'brakes', 'breaks']

barely 3	['barely', 'barley', 'bleary']

barest 3	['barest', 'baster', 'breast']

barked 3	['barked', 'braked', 'debark']

basest 4	['basest', 'basset', 'bastes', 'beasts']

beards 3	['beards', 'breads', 'debars']

beater 3	['beater', 'berate', 'rebate']

begins 3	['begins', 'beings', 'binges']

bestir 3	['bestir', 'biters', 'tribes']

binder 3	['binder', 'inbred', 'rebind']

bluest 5	['bluest', 'bluets', 'bustle', 'sublet', 'subtle']

brides 3	['brides', 'debris', 'rebids']

briefs 3	['briefs', 'fibers', 'fibres']

bruise 4	['bruise', 'buries', 'busier', 'rubies']

brutes 4	['brutes', 'buster', 'rebuts', 'tubers']

burble 3	['burble', 'lubber', 'rubble']

cadres 4	['cadres', 'cedars', 'sacred', 'scared']

caller 3	['caller', 'cellar', 'recall']

caners 3	['caners', 'cranes', 'nacres']

canter 4	['canter', 'nectar', 'recant', 'trance']

capers 7	['capers', 'crapes', 'pacers', 'parsec', 'recaps', 'scrape', 'spacer']

carets 7	['carets', 'caster', 'caters', 'crates', 'reacts', 'recast', 'traces']

carpel 3	['carpel', 'parcel', 'placer']

carted 4	['carted', 'crated', 'redact', 'traced']

cartel 3	['cartel', 'claret', 'rectal']

carter 3	['carter', 'crater', 'tracer']

castle 3	['castle', 'cleats', 'eclats']

center 3	['center', 'centre', 'recent']

chants 3	['chants', 'snatch', 'stanch']

chaste 3	['chaste', 'cheats', 'sachet']

chines 3	['chines', 'inches', 'niches']

chores 3	['chores', 'ochers', 'ochres']

coders 4	['coders', 'credos', 'decors', 'scored']

corset 4	['corset', 'escort', 'rectos', 'sector']

craned 3	['craned', 'dancer', 'narced']

crocus 3	['crocus', 'occurs', 'succor']

cruets 3	['cruets', 'eructs', 'truces']

dafter 3	['dafter', 'farted', 'rafted']

damned 3	['damned', 'demand', 'madden']

danger 4	['danger', 'gander', 'garden', 'ranged']

danker 3	['danker', 'darken', 'ranked']

darter 4	['darter', 'retard', 'tarred', 'trader']

daters 4	['daters', 'stared', 'trades', 'treads']

dearer 4	['dearer', 'reader', 'reared', 'reread']

dearth 3	['dearth', 'hatred', 'thread']

deigns 4	['deigns', 'design', 'signed', 'singed']

deltas 6	['deltas', 'desalt', 'lasted', 'salted', 'slated', 'staled']

delude 3	['delude', 'dueled', 'eluded']

