actress 3	['actress', 'casters', 'recasts']

adheres 3	['adheres', 'headers', 'sheared']

admires 3	['admires', 'misread', 'sidearm']

airings 3	['airings', 'arising', 'raising']

alerted 4	['alerted', 'altered', 'related', 'treadle']

aligned 3	['aligned', 'dealing', 'leading']

allergy 4	['allergy', 'gallery', 'largely', 'regally']

amblers 3	['amblers', 'marbles', 'rambles']

ambling 3	['ambling', 'blaming', 'lambing']

angered 5	['angered', 'derange', 'enraged', 'grandee', 'grenade']

angrier 4	['angrier', 'earring', 'rangier', 'rearing']

animals 3	['animals', 'laminas', 'manilas']

anteing 3	['anteing', 'antigen', 'gentian']

antsier 5	['antsier', 'nastier', 'retains', 'retinas', 'retsina']

argents 3	['argents', 'garnets', 'strange']

artiest 4	['artiest', 'artiste', 'attires', 'tastier']

ascents 3	['ascents', 'secants', 'stances']

aspired 4	['aspired', 'despair', 'diapers', 'praised']

aspires 4	['aspires', 'paresis', 'praises', 'spireas']

astride 3	['astride', 'staider', 'tirades']

attunes 3	['attunes', 'tautens', 'tetanus']

baldest 3	['baldest', 'blasted', 'stabled']

beaters 3	['beaters', 'berates', 'rebates']

berated 3	['berated', 'debater', 'rebated']

bluster 3	['bluster', 'butlers', 'subtler']

braised 3	['braised', 'seabird', 'sidebar']

burbles 3	['burbles', 'lubbers', 'rubbles']

caisson 3	['caisson', 'casinos', 'cassino']

callers 3	['callers', 'cellars', 'recalls']

canters 5	['canters', 'nectars', 'recants', 'scanter', 'trances']

capitol 3	['capitol', 'optical', 'topical']

carings 3	['carings', 'racings', 'scaring']

carpels 4	['carpels', 'parcels', 'placers', 'scalper']

cartels 3	['cartels', 'clarets', 'scarlet']

carters 3	['carters', 'craters', 'tracers']

carting 3	['carting', 'crating', 'tracing']

catered 3	['catered', 'created', 'reacted']

caterer 3	['caterer', 'retrace', 'terrace']

chalets 3	['chalets', 'latches', 'satchel']

cheater 4	['cheater', 'hectare', 'reteach', 'teacher']

cinders 3	['cinders', 'discern', 'rescind']

claimed 4	['claimed', 'decimal', 'declaim', 'medical']

claimer 3	['claimer', 'miracle', 'reclaim']

corsets 3	['corsets', 'escorts', 'sectors']

counter 3	['counter', 'recount', 'trounce']

coursed 3	['coursed', 'scoured', 'sourced']

courses 3	['courses', 'sources', 'sucrose']

crosser 3	['crosser', 'recross', 'scorers']

dangers 3	['dangers', 'ganders', 'gardens']

darters 4	['darters', 'retards', 'starred', 'traders']

dawdles 3	['dawdles', 'swaddle', 'waddles']

deafest 3	['deafest', 'defeats', 'feasted']

dearths 5	['dearths', 'hardest', 'hatreds', 'threads', 'trashed']

decants 3	['decants', 'descant', 'scanted']

defiler 3	['defiler', 'fielder', 'refiled']

delayer 3	['delayer', 'layered', 'relayed']

deletes 3	['deletes', 'sleeted', 'steeled']

deliver 3	['deliver', 'relived', 'reviled']

demerit 3	['demerit', 'merited', 'mitered']

dentins 3	['dentins', 'indents', 'intends']

deposit 4	['deposit', 'dopiest', 'posited', 'topside']

deprave 3	['deprave', 'pervade', 'repaved']

derides 3	['derides', 'desired', 'resided']

derives 3	['derives', 'diverse', 'revised']

despoil 3	['despoil', 'dipoles', 'spoiled']

detains 4	['detains', 'instead', 'sainted', 'stained']

detours 3	['detours', 'dourest', 'rousted']

dieting 3	['dieting', 'editing', 'ignited']

dishing 3	['dishing', 'hidings', 'shindig']

doubter 3	['doubter', 'obtrude', 'redoubt']

dowries 3	['dowries', 'rowdies', 'weirdos']

drawers 4	['drawers', 'redraws', 'rewards', 'warders']

drogues 3	['drogues', 'gourdes', 'groused']

dueling 3	['dueling', 'eluding', 'indulge']

earnest 3	['earnest', 'eastern', 'nearest']

earning 3	['earning', 'grannie', 'nearing']

editors 4	['editors', 'sortied', 'steroid', 'storied']

eighths 3	['eighths', 'heights', 'highest']

elastic 3	['elastic', 'laciest', 'latices']

elating 3	['elating', 'gelatin', 'genital']

emanate 3	['emanate', 'enemata', 'manatee']

emerita 3	['emerita', 'emirate', 'meatier']

